"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Horizontal_Distance_To_Fire_Points","Cover_Type","Combined_Soil_Type","Combined_Wilderness_Area","Total_Hillshade"
3056,"NW","25-30",192,39,2750,1661,"Spruce/Fir","32","Comanche Peak Area",586
2897,"W","0-5",467,61,2448,2506,"Lodgepole Pine","29","Rawah Area",620
3214,"NE","15-20",201,0,2970,1961,"Spruce/Fir","31","Comanche Peak Area",521
3258,"E","10-15",424,145,1194,2069,"Spruce/Fir","29","Rawah Area",579
3276,"NE","10-15",716,200,618,2089,"Lodgepole Pine","32","Comanche Peak Area",549
3032,"E","5-10",85,4,4203,2547,"Lodgepole Pine","29","Rawah Area",600
3109,"E","10-15",395,-39,6126,1320,"Spruce/Fir","20","Rawah Area",581
3239,"SW","5-10",618,129,1463,2554,"Spruce/Fir","31","Comanche Peak Area",633
2948,"E","10-15",67,6,2034,2723,"Lodgepole Pine","32","Comanche Peak Area",575
2568,"N","10-15",150,10,1124,2408,"Lodgepole Pine","11","Comanche Peak Area",569
2913,"NE","20-25",192,101,201,1168,"Spruce/Fir","29","Rawah Area",486
2956,"NW","10-15",360,136,2349,1897,"Spruce/Fir","32","Comanche Peak Area",616
3109,"SE","15-20",256,94,510,1123,"Lodgepole Pine","33","Comanche Peak Area",600
2821,"E","15-20",212,30,2580,1782,"Lodgepole Pine","29","Rawah Area",545
3291,"E","10-15",30,-4,1348,1403,"Spruce/Fir","35","Rawah Area",580
3084,"SW","10-15",30,-6,2015,560,"Spruce/Fir","23","Comanche Peak Area",638
3070,"NE","0-5",42,0,3290,1230,"Lodgepole Pine","23","Rawah Area",601
2612,"NW","25-30",240,169,899,1690,"Lodgepole Pine","10","Comanche Peak Area",546
2989,"SE","40-45",350,187,2249,1844,"Lodgepole Pine","13","Comanche Peak Area",451
2991,"N","10-15",541,72,4991,5331,"Lodgepole Pine","24","Rawah Area",580
2998,"E","5-10",577,66,2015,2484,"Lodgepole Pine","32","Comanche Peak Area",600
3460,"E","25-30",700,175,2112,1606,"Spruce/Fir","40","Rawah Area",489
2839,"NE","5-10",67,9,607,524,"Lodgepole Pine","31","Comanche Peak Area",592
1968,"N","10-15",0,0,306,516,"Douglas-fir","1","Cache la Poudre Area",567
3031,"NW","10-15",552,-89,1758,1885,"Lodgepole Pine","32","Comanche Peak Area",589
2060,"W","35-40",60,37,466,685,"Ponderosa Pine","10","Cache la Poudre Area",550
2872,"E","30-35",268,67,2704,1041,"Lodgepole Pine","10","Comanche Peak Area",461
3314,"NE","5-10",641,126,1170,2442,"Lodgepole Pine","23","Rawah Area",580
3044,"NE","10-15",511,102,216,1806,"Lodgepole Pine","33","Comanche Peak Area",572
2605,"E","15-20",90,8,953,660,"Lodgepole Pine","22","Rawah Area",566
3102,"N","15-20",190,6,1798,830,"Spruce/Fir","31","Comanche Peak Area",547
3253,"W","0-5",242,37,607,931,"Lodgepole Pine","32","Neota Area",618
2824,"W","25-30",150,64,1544,1684,"Lodgepole Pine","4","Comanche Peak Area",622
3109,"W","10-15",351,55,446,876,"Lodgepole Pine","32","Comanche Peak Area",635
3074,"N","15-20",120,37,2423,916,"Spruce/Fir","23","Comanche Peak Area",536
2998,"W","5-10",782,102,5835,6266,"Lodgepole Pine","29","Rawah Area",630
2887,"SE","35-40",95,36,1316,1476,"Spruce/Fir","33","Comanche Peak Area",421
3010,"S","15-20",0,0,824,1482,"Lodgepole Pine","23","Comanche Peak Area",604
2696,"S","10-15",210,35,2095,1597,"Lodgepole Pine","12","Rawah Area",614
2397,"NW","25-30",210,68,247,604,"Ponderosa Pine","10","Cache la Poudre Area",585
3252,"NE","5-10",607,176,765,1082,"Spruce/Fir","22","Rawah Area",584
3218,"N","20-25",541,79,2155,242,"Spruce/Fir","33","Comanche Peak Area",536
2910,"NE","10-15",778,75,2290,1130,"Lodgepole Pine","11","Comanche Peak Area",565
2704,"NE","0-5",0,0,2436,5306,"Lodgepole Pine","16","Rawah Area",597
2931,"NW","5-10",0,0,5636,1574,"Lodgepole Pine","29","Rawah Area",609
3368,"NW","30-35",297,75,2707,2526,"Spruce/Fir","39","Rawah Area",516
3205,"NE","10-15",120,50,5058,878,"Spruce/Fir","22","Rawah Area",560
3356,"W","0-5",300,22,932,2072,"Krummholz","32","Comanche Peak Area",615
2813,"NW","15-20",120,51,2060,1176,"Lodgepole Pine","13","Comanche Peak Area",579
3162,"S","10-15",90,7,1289,1883,"Spruce/Fir","23","Neota Area",621
3137,"NE","10-15",685,21,2107,3208,"Spruce/Fir","31","Comanche Peak Area",549
2721,"N","15-20",60,7,2215,4063,"Lodgepole Pine","12","Rawah Area",554
3100,"NE","25-30",42,17,5145,1466,"Spruce/Fir","29","Rawah Area",481
2960,"SE","10-15",258,72,2289,2003,"Lodgepole Pine","24","Comanche Peak Area",575
2828,"N","20-25",108,25,716,437,"Lodgepole Pine","31","Comanche Peak Area",533
2975,"E","10-15",42,7,3137,6511,"Spruce/Fir","29","Rawah Area",563
2811,"SE","20-25",150,69,3615,5750,"Lodgepole Pine","30","Rawah Area",563
3377,"E","10-15",256,95,2067,2789,"Spruce/Fir","40","Rawah Area",579
2968,"E","5-10",30,3,875,2122,"Lodgepole Pine","29","Rawah Area",596
3223,"NE","5-10",525,113,3171,967,"Spruce/Fir","32","Comanche Peak Area",578
3014,"SW","5-10",782,118,5850,6438,"Lodgepole Pine","29","Rawah Area",628
2808,"N","5-10",30,5,1565,2442,"Spruce/Fir","20","Comanche Peak Area",590
2985,"N","15-20",467,69,4609,3971,"Spruce/Fir","29","Rawah Area",545
2332,"SE","25-30",95,41,1300,908,"Ponderosa Pine","3","Cache la Poudre Area",531
3180,"NE","10-15",190,64,1260,1084,"Spruce/Fir","22","Comanche Peak Area",556
3146,"E","15-20",85,-6,926,1315,"Spruce/Fir","29","Rawah Area",528
3152,"E","15-20",30,9,4335,2022,"Spruce/Fir","29","Rawah Area",569
2872,"NE","5-10",408,46,811,1481,"Lodgepole Pine","11","Comanche Peak Area",575
2947,"W","10-15",180,32,2946,1422,"Lodgepole Pine","31","Comanche Peak Area",618
3174,"S","10-15",134,19,2639,1104,"Lodgepole Pine","32","Comanche Peak Area",616
2871,"NE","5-10",228,55,3472,2946,"Lodgepole Pine","12","Rawah Area",581
3044,"E","5-10",450,26,6606,2795,"Lodgepole Pine","29","Rawah Area",589
2909,"SW","5-10",60,6,4970,1578,"Lodgepole Pine","29","Rawah Area",632
2810,"E","5-10",390,0,1982,2163,"Lodgepole Pine","12","Rawah Area",597
3337,"SE","30-35",342,153,1866,402,"Krummholz","39","Comanche Peak Area",551
2991,"S","5-10",569,74,5558,2754,"Lodgepole Pine","30","Rawah Area",616
2761,"NE","10-15",162,23,474,2652,"Lodgepole Pine","31","Comanche Peak Area",573
2985,"NE","15-20",955,187,3085,979,"Lodgepole Pine","10","Comanche Peak Area",528
3304,"NW","5-10",108,34,6039,666,"Spruce/Fir","38","Rawah Area",607
2997,"NE","5-10",242,46,4034,1050,"Lodgepole Pine","29","Rawah Area",575
2851,"SE","10-15",30,3,1357,1572,"Spruce/Fir","29","Rawah Area",608
2272,"N","20-25",67,20,150,997,"Lodgepole Pine","10","Cache la Poudre Area",519
2617,"E","15-20",60,12,2268,1237,"Lodgepole Pine","10","Comanche Peak Area",548
3173,"SW","15-20",418,112,3115,180,"Lodgepole Pine","32","Comanche Peak Area",640
3068,"W","20-25",190,-35,999,2699,"Spruce/Fir","29","Rawah Area",590
2936,"N","10-15",108,17,4735,5852,"Spruce/Fir","20","Rawah Area",577
2348,"E","15-20",30,8,67,841,"Ponderosa Pine","4","Cache la Poudre Area",527
2642,"SE","0-5",153,-4,467,1436,"Lodgepole Pine","12","Rawah Area",614
3272,"NW","10-15",390,109,4457,1374,"Krummholz","38","Rawah Area",609
3093,"N","10-15",153,24,4287,2218,"Lodgepole Pine","29","Rawah Area",576
2988,"E","0-5",0,0,5381,4692,"Spruce/Fir","19","Rawah Area",599
2982,"E","10-15",379,115,5875,4246,"Lodgepole Pine","30","Rawah Area",575
3195,"N","5-10",240,-18,3046,1341,"Lodgepole Pine","29","Rawah Area",596
2036,"N","20-25",0,0,300,391,"Cottonwood/Willow","3","Cache la Poudre Area",551
2110,"SE","15-20",108,46,660,932,"Ponderosa Pine","2","Cache la Poudre Area",586
3323,"NE","15-20",365,94,638,859,"Lodgepole Pine","24","Neota Area",525
3114,"SE","20-25",376,120,543,1616,"Lodgepole Pine","22","Comanche Peak Area",582
2983,"E","20-25",150,69,2531,2256,"Spruce/Fir","33","Comanche Peak Area",517
3050,"W","5-10",242,20,5611,2016,"Lodgepole Pine","22","Rawah Area",622
2823,"N","10-15",175,28,3354,1015,"Lodgepole Pine","24","Comanche Peak Area",562
2329,"SE","10-15",108,22,1080,95,"Ponderosa Pine","6","Cache la Poudre Area",582
2975,"E","15-20",67,10,4669,2543,"Lodgepole Pine","29","Rawah Area",555
2233,"NW","30-35",255,145,830,967,"Douglas-fir","10","Cache la Poudre Area",545
2824,"N","10-15",532,94,60,1091,"Lodgepole Pine","11","Comanche Peak Area",576
2814,"W","5-10",162,12,2271,2382,"Lodgepole Pine","12","Rawah Area",623
3102,"E","0-5",242,10,4213,1448,"Spruce/Fir","23","Rawah Area",603
2771,"NE","15-20",362,110,1889,949,"Lodgepole Pine","10","Comanche Peak Area",548
3228,"N","10-15",297,73,2405,2627,"Spruce/Fir","24","Comanche Peak Area",569
3159,"N","10-15",90,0,2163,2850,"Spruce/Fir","29","Rawah Area",572
3421,"W","15-20",914,239,4740,2910,"Krummholz","39","Comanche Peak Area",632
3039,"SW","10-15",60,14,1728,1381,"Spruce/Fir","23","Comanche Peak Area",638
3018,"NE","0-5",767,178,5490,5341,"Lodgepole Pine","12","Rawah Area",601
2336,"W","10-15",180,88,1087,1012,"Douglas-fir","11","Cache la Poudre Area",618
2587,"N","5-10",216,-5,335,1237,"Lodgepole Pine","9","Rawah Area",588
3146,"NW","10-15",268,37,960,1315,"Lodgepole Pine","23","Comanche Peak Area",608
2816,"S","10-15",313,35,1560,1329,"Lodgepole Pine","11","Comanche Peak Area",621
2905,"NE","5-10",242,46,957,2190,"Lodgepole Pine","34","Comanche Peak Area",595
2900,"E","5-10",424,49,1622,2762,"Spruce/Fir","31","Comanche Peak Area",582
3352,"E","5-10",190,30,1978,3396,"Krummholz","38","Rawah Area",577
2899,"N","20-25",319,41,807,1356,"Lodgepole Pine","33","Comanche Peak Area",550
2539,"SE","5-10",543,62,859,1158,"Ponderosa Pine","2","Comanche Peak Area",610
2541,"N","40-45",216,6,417,1524,"Lodgepole Pine","10","Comanche Peak Area",358
2601,"S","15-20",190,66,1248,1283,"Ponderosa Pine","3","Comanche Peak Area",623
2578,"S","15-20",270,74,918,1441,"Ponderosa Pine","4","Comanche Peak Area",615
3191,"NE","5-10",60,16,4222,3250,"Spruce/Fir","29","Rawah Area",574
2764,"E","10-15",0,0,1895,1209,"Lodgepole Pine","23","Comanche Peak Area",551
3328,"SE","25-30",247,77,1860,2992,"Spruce/Fir","39","Rawah Area",538
3409,"NW","15-20",525,78,1611,713,"Krummholz","39","Comanche Peak Area",583
3126,"NE","0-5",175,20,2782,3502,"Spruce/Fir","30","Rawah Area",601
2345,"NW","20-25",350,39,1032,1291,"Douglas-fir","10","Cache la Poudre Area",548
3145,"NE","40-45",120,64,3972,874,"Spruce/Fir","30","Rawah Area",339
3190,"N","5-10",108,9,5385,2483,"Spruce/Fir","22","Rawah Area",597
2507,"S","15-20",42,9,979,1613,"Ponderosa Pine","4","Comanche Peak Area",619
2798,"NE","5-10",0,0,2100,2173,"Spruce/Fir","20","Rawah Area",588
2098,"N","35-40",228,149,255,182,"Ponderosa Pine","10","Cache la Poudre Area",375
2575,"NE","0-5",339,23,1412,1604,"Aspen","2","Comanche Peak Area",602
2926,"E","0-5",242,-2,4101,4824,"Lodgepole Pine","20","Rawah Area",603
3283,"NW","10-15",573,123,4200,2391,"Spruce/Fir","38","Comanche Peak Area",613
2807,"S","15-20",150,35,722,2936,"Lodgepole Pine","11","Comanche Peak Area",608
2862,"SE","20-25",481,161,1899,2047,"Lodgepole Pine","4","Comanche Peak Area",552
3176,"NE","10-15",649,49,2290,3259,"Spruce/Fir","31","Comanche Peak Area",571
2366,"N","25-30",382,159,1091,67,"Ponderosa Pine","10","Cache la Poudre Area",494
3225,"NE","10-15",379,-22,636,2430,"Spruce/Fir","22","Rawah Area",560
3022,"SW","5-10",212,-24,2308,1110,"Lodgepole Pine","31","Comanche Peak Area",628
3136,"W","5-10",127,24,1087,1458,"Spruce/Fir","23","Comanche Peak Area",622
2952,"NE","5-10",420,73,3255,2242,"Lodgepole Pine","29","Rawah Area",580
2809,"W","5-10",95,18,2108,3032,"Spruce/Fir","30","Rawah Area",622
3014,"NE","10-15",95,23,150,1299,"Lodgepole Pine","32","Comanche Peak Area",546
2833,"SW","15-20",150,22,1595,892,"Lodgepole Pine","13","Comanche Peak Area",638
2894,"S","15-20",778,118,2338,1604,"Lodgepole Pine","13","Comanche Peak Area",616
2987,"E","15-20",283,111,395,1369,"Spruce/Fir","29","Rawah Area",548
2681,"E","25-30",85,37,90,912,"Aspen","30","Rawah Area",490
2805,"SE","10-15",474,42,1978,1958,"Lodgepole Pine","13","Comanche Peak Area",604
3086,"NE","15-20",85,0,3788,3912,"Spruce/Fir","29","Rawah Area",547
3188,"N","5-10",42,4,2251,2927,"Spruce/Fir","22","Rawah Area",587
3070,"SW","15-20",725,273,2220,1112,"Lodgepole Pine","13","Comanche Peak Area",639
2720,"SE","10-15",150,37,2442,4880,"Lodgepole Pine","12","Rawah Area",597
3300,"NE","15-20",150,7,3436,2742,"Krummholz","39","Comanche Peak Area",538
2725,"SW","10-15",67,12,2455,1897,"Lodgepole Pine","30","Rawah Area",636
3164,"S","5-10",30,2,2567,1092,"Spruce/Fir","23","Comanche Peak Area",627
2988,"E","10-15",497,3,4361,3342,"Lodgepole Pine","29","Rawah Area",580
3172,"W","20-25",787,251,3268,2466,"Spruce/Fir","27","Comanche Peak Area",625
3084,"SW","10-15",566,77,6025,1615,"Lodgepole Pine","30","Rawah Area",639
3186,"E","10-15",732,105,1279,2419,"Spruce/Fir","32","Comanche Peak Area",575
2715,"SE","0-5",247,26,2005,5818,"Lodgepole Pine","12","Rawah Area",607
2347,"E","15-20",170,38,1050,67,"Ponderosa Pine","6","Cache la Poudre Area",562
3171,"S","10-15",390,35,417,2770,"Spruce/Fir","32","Neota Area",623
2443,"N","15-20",201,39,426,1180,"Douglas-fir","10","Cache la Poudre Area",564
3183,"NE","5-10",331,-30,2952,1315,"Lodgepole Pine","29","Rawah Area",581
2641,"N","20-25",150,30,1987,2571,"Douglas-fir","24","Comanche Peak Area",541
2845,"E","15-20",510,90,1549,696,"Lodgepole Pine","28","Comanche Peak Area",534
3012,"S","0-5",247,34,495,1087,"Spruce/Fir","23","Rawah Area",615
2743,"NE","20-25",60,-5,1148,2022,"Lodgepole Pine","20","Comanche Peak Area",497
3086,"E","10-15",242,39,4471,2605,"Lodgepole Pine","29","Rawah Area",574
2898,"NE","5-10",150,7,1865,1509,"Aspen","32","Comanche Peak Area",588
2217,"SE","25-30",67,24,955,1337,"Cottonwood/Willow","3","Cache la Poudre Area",529
3270,"SE","15-20",395,46,1320,2347,"Spruce/Fir","29","Rawah Area",583
3054,"E","15-20",212,16,589,1499,"Spruce/Fir","29","Rawah Area",546
3065,"NW","5-10",594,107,824,841,"Lodgepole Pine","23","Neota Area",612
2872,"N","0-5",175,13,3439,3243,"Lodgepole Pine","12","Rawah Area",609
3250,"N","15-20",300,47,1989,1183,"Spruce/Fir","31","Comanche Peak Area",546
3255,"W","15-20",417,71,4053,1652,"Spruce/Fir","39","Comanche Peak Area",625
2602,"N","15-20",0,0,1510,5060,"Lodgepole Pine","16","Rawah Area",573
3043,"N","20-25",424,-16,1130,2084,"Spruce/Fir","33","Comanche Peak Area",519
2982,"S","10-15",603,73,6131,5501,"Lodgepole Pine","29","Rawah Area",627
3100,"NW","20-25",661,303,2572,1470,"Spruce/Fir","33","Comanche Peak Area",558
3153,"N","25-30",212,83,4080,845,"Spruce/Fir","29","Rawah Area",472
2988,"NE","15-20",789,204,1146,2461,"Lodgepole Pine","33","Comanche Peak Area",546
3032,"S","25-30",330,206,2828,1087,"Lodgepole Pine","34","Comanche Peak Area",615
3323,"E","10-15",212,1,1973,3273,"Krummholz","38","Rawah Area",576
2968,"NE","10-15",300,49,4778,6024,"Spruce/Fir","12","Rawah Area",554
2901,"E","30-35",124,79,2220,1637,"Lodgepole Pine","13","Comanche Peak Area",465
2816,"S","20-25",210,-15,1239,1651,"Lodgepole Pine","4","Comanche Peak Area",630
2724,"W","20-25",162,75,1209,849,"Lodgepole Pine","24","Comanche Peak Area",622
2599,"NE","5-10",247,0,765,5560,"Lodgepole Pine","29","Rawah Area",590
2957,"W","20-25",170,53,3158,1951,"Lodgepole Pine","13","Comanche Peak Area",630
2778,"NE","10-15",437,19,1761,924,"Lodgepole Pine","12","Rawah Area",561
3231,"N","20-25",408,52,3275,3105,"Lodgepole Pine","24","Comanche Peak Area",509
3021,"S","15-20",426,158,6419,3961,"Lodgepole Pine","30","Rawah Area",603
2849,"E","0-5",366,65,2095,1536,"Lodgepole Pine","12","Rawah Area",600
2952,"NE","15-20",309,-15,4657,2190,"Lodgepole Pine","29","Rawah Area",545
3077,"SE","15-20",150,-5,3336,2496,"Spruce/Fir","29","Rawah Area",579
2130,"N","20-25",90,1,541,335,"Douglas-fir","10","Cache la Poudre Area",503
2827,"NE","5-10",95,2,1317,2550,"Spruce/Fir","29","Rawah Area",574
3061,"N","10-15",127,-7,1878,1316,"Spruce/Fir","22","Comanche Peak Area",589
3207,"N","10-15",384,56,3013,765,"Spruce/Fir","24","Comanche Peak Area",565
2988,"SE","15-20",467,20,6280,3042,"Lodgepole Pine","29","Rawah Area",600
2164,"NE","30-35",42,20,1337,1371,"Ponderosa Pine","10","Cache la Poudre Area",427
3191,"W","10-15",30,6,752,1053,"Lodgepole Pine","24","Neota Area",619
3060,"NE","0-5",330,69,5689,4803,"Lodgepole Pine","12","Rawah Area",600
2924,"E","10-15",60,-6,3807,1830,"Spruce/Fir","20","Rawah Area",563
3034,"NW","15-20",127,27,2730,2300,"Spruce/Fir","24","Comanche Peak Area",585
3234,"W","25-30",902,313,3352,2539,"Lodgepole Pine","27","Comanche Peak Area",619
3107,"N","10-15",108,31,2831,1455,"Spruce/Fir","33","Comanche Peak Area",559
3023,"SE","15-20",283,95,1401,3339,"Spruce/Fir","22","Rawah Area",598
3289,"S","15-20",551,19,3819,1338,"Lodgepole Pine","34","Comanche Peak Area",616
2977,"W","5-10",825,183,1034,2337,"Lodgepole Pine","32","Comanche Peak Area",624
3315,"E","10-15",537,18,976,2681,"Spruce/Fir","22","Rawah Area",584
3253,"W","25-30",966,169,3612,2312,"Spruce/Fir","27","Comanche Peak Area",586
3133,"S","15-20",331,81,268,503,"Lodgepole Pine","32","Comanche Peak Area",610
3057,"N","25-30",330,31,841,1290,"Spruce/Fir","24","Comanche Peak Area",481
2881,"NW","20-25",277,91,2274,579,"Lodgepole Pine","33","Comanche Peak Area",576
3320,"N","5-10",108,2,2192,1959,"Spruce/Fir","31","Comanche Peak Area",579
3131,"NW","5-10",95,1,360,2733,"Spruce/Fir","22","Neota Area",614
2590,"NE","5-10",120,10,3058,2557,"Lodgepole Pine","11","Comanche Peak Area",586
2961,"N","10-15",277,78,3429,1676,"Lodgepole Pine","29","Rawah Area",569
3190,"NW","5-10",90,6,300,1150,"Spruce/Fir","23","Neota Area",605
2869,"E","10-15",420,-7,454,1786,"Lodgepole Pine","29","Rawah Area",554
3043,"N","25-30",212,60,1533,1507,"Lodgepole Pine","31","Comanche Peak Area",487
3398,"E","20-25",272,160,3906,3462,"Krummholz","39","Comanche Peak Area",532
3021,"E","10-15",95,17,2125,1601,"Lodgepole Pine","31","Comanche Peak Area",564
3232,"E","15-20",85,13,2486,2753,"Spruce/Fir","38","Rawah Area",563
2627,"N","10-15",67,25,1546,4977,"Lodgepole Pine","12","Rawah Area",562
2638,"N","0-5",30,4,1381,124,"Lodgepole Pine","9","Rawah Area",607
3005,"S","15-20",722,94,2940,2017,"Lodgepole Pine","33","Comanche Peak Area",630
3223,"NE","10-15",631,79,6349,1361,"Spruce/Fir","29","Rawah Area",567
3115,"SW","10-15",295,-17,2567,644,"Spruce/Fir","32","Comanche Peak Area",638
2389,"SE","10-15",256,102,1182,1065,"Ponderosa Pine","2","Cache la Poudre Area",594
2914,"SE","0-5",90,0,4022,5509,"Lodgepole Pine","20","Rawah Area",607
2881,"NE","15-20",295,78,2297,1480,"Lodgepole Pine","33","Comanche Peak Area",530
3081,"N","10-15",277,64,1409,2843,"Spruce/Fir","31","Comanche Peak Area",554
2951,"E","10-15",553,172,927,1170,"Lodgepole Pine","29","Rawah Area",584
2988,"NE","25-30",162,7,890,2175,"Spruce/Fir","24","Comanche Peak Area",475
3032,"SW","10-15",85,6,1935,1584,"Spruce/Fir","23","Comanche Peak Area",634
3166,"E","10-15",30,1,3191,3761,"Spruce/Fir","22","Rawah Area",572
3402,"NE","5-10",382,69,1173,3884,"Spruce/Fir","35","Neota Area",577
2905,"SE","5-10",120,-6,721,1982,"Lodgepole Pine","22","Rawah Area",601
2821,"NW","15-20",295,58,3005,2981,"Spruce/Fir","12","Rawah Area",579
3066,"NE","10-15",725,251,391,1057,"Lodgepole Pine","32","Comanche Peak Area",574
2771,"NW","10-15",162,27,1801,2458,"Lodgepole Pine","29","Rawah Area",588
3011,"NE","25-30",108,-12,2406,2812,"Lodgepole Pine","32","Comanche Peak Area",417
2847,"N","15-20",85,16,4566,4794,"Lodgepole Pine","29","Rawah Area",568
2609,"N","5-10",0,0,2273,1282,"Lodgepole Pine","10","Comanche Peak Area",598
2872,"E","5-10",30,0,1672,2551,"Lodgepole Pine","16","Comanche Peak Area",598
2971,"E","10-15",67,8,1348,2012,"Lodgepole Pine","23","Rawah Area",579
3285,"S","15-20",738,128,949,1416,"Lodgepole Pine","27","Comanche Peak Area",615
2939,"NE","10-15",216,43,4578,5682,"Lodgepole Pine","30","Rawah Area",565
3116,"NE","10-15",283,36,3721,4274,"Spruce/Fir","29","Rawah Area",559
3201,"NE","10-15",95,-22,2831,2083,"Spruce/Fir","22","Rawah Area",566
3036,"NE","0-5",404,53,3144,573,"Lodgepole Pine","32","Comanche Peak Area",598
3369,"S","5-10",607,40,1050,4216,"Spruce/Fir","32","Neota Area",623
2877,"NE","15-20",365,-50,658,2248,"Lodgepole Pine","29","Rawah Area",528
3190,"S","10-15",153,11,731,1245,"Spruce/Fir","22","Rawah Area",627
2909,"S","5-10",360,33,3597,3827,"Lodgepole Pine","12","Rawah Area",626
3055,"N","5-10",631,83,2402,2371,"Spruce/Fir","23","Comanche Peak Area",595
3186,"NE","0-5",210,25,1019,2083,"Spruce/Fir","23","Neota Area",597
2767,"SW","15-20",335,118,1199,968,"Lodgepole Pine","32","Comanche Peak Area",638
3004,"SE","5-10",247,32,5277,4024,"Spruce/Fir","20","Rawah Area",604
2757,"NE","10-15",0,0,3084,854,"Lodgepole Pine","24","Comanche Peak Area",565
3050,"N","5-10",190,19,3376,1621,"Lodgepole Pine","29","Rawah Area",603
3082,"NW","10-15",120,25,1440,1598,"Spruce/Fir","23","Comanche Peak Area",614
3201,"NE","15-20",361,41,1445,2337,"Spruce/Fir","39","Comanche Peak Area",518
3218,"S","10-15",691,50,4106,2010,"Spruce/Fir","29","Rawah Area",618
2445,"E","20-25",42,8,655,1231,"Ponderosa Pine","5","Cache la Poudre Area",530
2736,"E","25-30",162,87,175,1952,"Aspen","30","Rawah Area",486
3285,"SW","20-25",335,114,3085,792,"Spruce/Fir","33","Comanche Peak Area",630
3159,"SW","5-10",268,44,1200,816,"Spruce/Fir","32","Comanche Peak Area",628
2787,"SE","25-30",85,46,2255,446,"Lodgepole Pine","13","Comanche Peak Area",513
2762,"NE","15-20",402,27,1499,2393,"Lodgepole Pine","29","Rawah Area",528
3062,"NE","0-5",0,0,1018,1687,"Spruce/Fir","23","Neota Area",607
2582,"E","15-20",150,40,1448,552,"Lodgepole Pine","11","Comanche Peak Area",531
2988,"W","5-10",658,75,5594,4202,"Lodgepole Pine","29","Rawah Area",624
2995,"W","10-15",604,99,6004,6443,"Lodgepole Pine","29","Rawah Area",631
2824,"NE","20-25",511,150,540,2416,"Aspen","24","Rawah Area",502
